Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,Quantity
3EX1,3EX-1,code128,B PLUS,3EX,PCS,PCS,PCS,1300,1300,10,,Inclusive,2a0f01d195eeda2523cb8b3ae6e4fc58.png,,,,,,,,,0
3EX2,3EX-2,code128,B PLUS,3EX,PCS,PCS,PCS,1400,1400,10,,Inclusive,9dd810a940f8164f40d0c3860afd113c.png,,,,,,,,,0
3EX3,3EX-3,code128,B PLUS,3EX,PCS,PCS,PCS,1500,1500,10,,Inclusive,a0efbe6b654f0146a9f0fa12ae30844c.png,,,,,,,,,0
3EX4,3EX-4,code128,B PLUS,3EX,PCS,PCS,PCS,1600,1600,10,,Inclusive,c6348b7b7e92d6d1d6000fcc9661d5f2.png,,,,,,,,,0
3EX5,3EX-5,code128,B PLUS,3EX,PCS,PCS,PCS,1800,1800,10,,Inclusive,9dd810a940f8164f40d0c3860afd113c.png,,,,,,,,,0
3EX6,3EX-6,code128,B PLUS,3EX,PCS,PCS,PCS,1900,1900,10,,Inclusive,a0efbe6b654f0146a9f0fa12ae30844c.png,,,,,,,,,0
3EX7,3EX-7,code128,B PLUS,3EX,PCS,PCS,PCS,2200,2200,10,,Inclusive,c6348b7b7e92d6d1d6000fcc9661d5f2.png,,,,,,,,,0
3EXA.1,3EXA-1,code128,B PLUS,3EXA,PCS,PCS,PCS,2500,2500,10,,Inclusive,15ab835bdffa11bb7a94440524fb1d7a.png,,,,,,,,,0
3EXA.2,3EXA-2,code128,B PLUS,3EXA,PCS,PCS,PCS,2750,2750,10,,Inclusive,eec59dc239cf646cbc2a4fcdc7a4876b.png,,,,,,,,,0
3PCS,3PCS,code128,B PLUS,3PCS,PCS,PCS,PCS,1000,1000,10,,Inclusive,9aa0dc623ee887d9802a98b4c1ad4759.png,,,,,,,,,0
A.M,AM,code128,B PLUS,A.M,PCS,PCS,PCS,1600,1600,10,,Inclusive,69da238639db87548eba8e7e42f6d38a.png,,,,,,,,,0
B.P,BP,code128,B PLUS,B.P,PCS,PCS,PCS,800,800,10,,Inclusive,5ff17b67482fc5d1b8f4987e91b22e3f.png,,,,,,,,,0
LUNGI-A,LUNGI-A,code128,B PLUS,LUNGI,PCS,PCS,PCS,300,300,1,,Inclusive,2637cc97f506d3d4184eeaab9a445786.png,,,,,,,,,0
LUNGI-B,LUNGI-B,code128,B PLUS,LUNGI,PCS,PCS,PCS,350,350,1,,Inclusive,5e4b06f6dd0ba5fbe22efe0574ce7352.png,,,,,,,,,0
LUNGI-C,LUNGI-C,code128,B PLUS,LUNGI,PCS,PCS,PCS,400,400,1,,Inclusive,1d34cc930916642aa5d0dbda0b2cf9ea.png,,,,,,,,,0
LUNGI-D,LUNGI-D,code128,B PLUS,LUNGI,PCS,PCS,PCS,450,450,1,,Inclusive,24b273447c2a34b164796e1e9e71cafc.png,,,,,,,,,0
LUNGI-E,LUNGI-E,code128,B PLUS,LUNGI,PCS,PCS,PCS,500,500,1,,Inclusive,971332dde3e910edd2de5b4fe5878d04.png,,,,,,,,,0
LUNGI-F,LUNGI-F,code128,B PLUS,LUNGI,PCS,PCS,PCS,550,550,1,,Inclusive,0b90e35fda2be8d48f2487833a0338fe.png,,,,,,,,,0
LUNGI-G,LUNGI-G,code128,B PLUS,LUNGI,PCS,PCS,PCS,600,600,1,,Inclusive,289b7fbfd5d8eb0e8309d214257aa6a8.png,,,,,,,,,0
LUNGI-H,LUNGI-H,code128,B PLUS,LUNGI,PCS,PCS,PCS,650,650,1,,Inclusive,4d29c2e017254b210b8a8af2d19cc08a.png,,,,,,,,,0
LUNGI-I,LUNGI-I,code128,B PLUS,LUNGI,PCS,PCS,PCS,700,700,1,,Inclusive,8e0d061dc686b5f02de35985844398b9.png,,,,,,,,,0
